Feature,Importance,Std
area_type_urban,0.0234375,0.026378035962709583
weather_condition_partly_cloudy,0.0109375,0.010004881620988827
day_of_week_Monday,0.0015625,0.012979099785809493
time_of_day_evening,0.0,0.0
hour_category_rush_evening,0.0,0.0
is_holiday,0.0,0.0
day_of_week_Saturday,0.0,0.0
day_of_week_Thursday,0.0,0.0
hour_category_rush_morning,0.0,0.0
weather_condition_rain,-0.0015625,0.004687500000000001
time_of_day_morning,-0.0015625,0.004687500000000001
day_of_week_Wednesday,-0.0015625,0.004687500000000001
is_rainy,-0.0015625,0.004687500000000001
time_of_day_night,-0.0015625,0.004687500000000001
precipitation,-0.0015625,0.004687500000000001
season_winter,-0.0015625,0.004687500000000001
hour_category_night,-0.0015625,0.004687500000000001
has_time,-0.003125,0.006250000000000001
has_location,-0.003125,0.006250000000000001
hour_category_unknown,-0.003125,0.006250000000000001
region_unknown,-0.003125,0.006250000000000001
time_of_day_unknown,-0.003125,0.006250000000000001
area_type_unknown,-0.003125,0.006250000000000001
day_of_week_Tuesday,-0.003125,0.006250000000000001
region_Malta,-0.003125,0.006250000000000001
vehicle_category_other,-0.0046875,0.012203515118604149
has_motorcycle,-0.0078125,0.0078125
vehicle_category_motorcycle_involved,-0.0078125,0.0078125
wind_speed,-0.009375,0.007654655446197432
is_windy,-0.009375,0.007654655446197432
is_weekend,-0.0140625,0.0046875
day_of_week_Sunday,-0.0140625,0.0046875
temperature,-0.0140625,0.004687500000000001
season_summer,-0.0140625,0.004687500000000001
month,-0.0171875,0.008414320011147664
